,Track,Artist,Year,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,Duration_min,Popularity_bin,Decade,Cluster
135,Decadence,Disturbed,2008,4,0.528,0.968,1,-3.457,1,0.145,5.67e-05,0.0916,0.0668,0.305,91.934,65,Alt. Rock,3.4131,Very High,2000,3
136,Rescue,Echo & the Bunnymen,1980,4,0.462,0.682,4,-10.902,0,0.0567,0.0931,1.82e-06,0.894,0.618,129.8,3,Alt. Rock,4.5311,Low,1980,3
137,The Cutter,Echo & the Bunnymen,1983,4,0.471,0.955,7,-5.219,1,0.121,0.00485,1.44e-06,0.162,0.35,139.266,49,Alt. Rock,3.8791,High,1980,3
138,Over the Wall,Echo & the Bunnymen,1984,4,0.498,0.875,0,-9.88,1,0.0334,0.000264,0.0877,0.0775,0.63,133.089,19,Alt. Rock,6.108433333333333,Low,1980,3
139,Seven Seas,Echo & the Bunnymen,1984,4,0.556,0.829,0,-5.123,1,0.0373,0.105,7.22e-05,0.29,0.793,134.382,37,Alt. Rock,3.3231,Medium,1980,0
140,The Killing Moon,Echo & the Bunnymen,1984,4,0.568,0.829,7,-7.066,1,0.0303,0.218,0.00418,0.0976,0.79,124.201,56,Alt. Rock,5.804883333333334,High,1980,0
141,Bring on the Dancing Horses,Echo & the Bunnymen,1985,4,0.568,0.926,2,-5.274,1,0.0405,0.0064,0.00486,0.315,0.755,118.448,54,Alt. Rock,3.93,High,1980,3
142,Lips Like Sugar,Echo & the Bunnymen,1987,4,0.552,0.934,4,-4.039,1,0.0299,0.00448,0.0212,0.258,0.863,130.001,53,Alt. Rock,4.864433333333333,High,1980,3
143,Never Stop,Echo & the Bunnymen,1990,4,0.667,0.867,4,-7.284,0,0.0352,0.438,0.01,0.134,0.916,137.185,33,Alt. Rock,4.764433333333334,Medium,1990,0
144,Nothing Lasts Forever,Echo & the Bunnymen,1997,4,0.432,0.654,0,-5.345,1,0.0273,0.028,1.33e-05,0.176,0.399,83.85,44,Alt. Rock,3.91865,Medium,1990,3
